id,text,meta,annotation_approver,labels
77090,"Le prochain projet de loi devrait également porter sur les PME. On crée beaucoup d ' entreprises en France mais on ne sait pas les faire grossir , explique-t-on à Bercy. Nous allons présenter un volet de mesures leur permettant de grossir et de créer de l ' emploi. Au coeur des réflexions , la question du contrat de travail .",{},,"[[147, 168, 'off']]"
77091,"Mais ce dernier a fait barrage pour imposer un de ses proches , le conseiller d ' Etat Benoît Ribadeau-Dumas. Le duo exécutif s ' est surtout consacré à la délicate composition du gouvernement. Il ne s ' agit pas d ' un gouvernement habituel , fait-on valoir à l ' Elysée. Il y a un savant dosage à faire entre la société civile , la parité , la droite et la gauche .",{},,"[[244, 271, 'off']]"
77092,"Il n ' y a que des coups à prendre , a d ' ailleurs reconnu M. Valls dimanche soir. Si on dévisse encore une fois , l ' élection aura , quoi qu ' on en pense , une portée nationale. On ne résistera pas à un mauvais score , s ' inquiète un poids lourd socialiste. On ne sait pas si ça va marcher , mais on y va , admet un proche du premier ministre .",{},,"[[223, 261, 'off'], [312, 347, 'off']]"
77093,"On n ' a pas de scénario , assure ce même proche. Pour l ' instant , elle met de la distance. Il y a une volonté de rupture de sa part , plus que de coupure. Un autre proche se montre plus clair .",{},,"[[27, 48, 'off'], [158, 194, 'off']]"
77094,"Insatiable. Nerveux , un haut gradé de la préfecture regarde sa montre. Mais le président n ' a pas l ' intention d ' écourter cette visite improvisée , il salue un à un les ouvriers. Monsieur le président , vous m ' avez déjà dit bonjour. . . ! , murmure l ' un d ' eux .",{},,"[[248, 270, 'off']]"
77095,"Selon son entourage , il a l ' intention de porter un regard critique sur ses années à l ' Elysée. Il a beaucoup réfléchi cet été ; il a mené un travail de fond sur son quinquennat , sur l ' exercice du pouvoir , confie un de ses proches. Il se dit que c ' est le bon moment , en cette année de transition , pour remettre les choses en perspective avant de passer à l ' avenir. Interview dans la presse ?",{},,"[[0, 19, 'off'], [213, 237, 'off']]"
77096,"Si les militants votent aujourd ' hui , la motion du gouvernement est balayée , assure un des responsables de l ' aile gauche. Ce que ne conteste pas un ministre proche du président : A l ' heure actuelle , on ne gagnerait pas le congrès. On ne mobilisera pas tant qu ' on n ' aura pas de résultats. Pourtant les soutiens du chef de l ' état continuent d ' affirmer qu ' il n ' y a pas de fossé au sein du parti .",{},,"[[80, 125, 'off'], [150, 180, 'off']]"
77097,"Personne n ' envisage un second tour. Au coeur d ' une droite en jachère , la main mise de Wauquiez sur l ' appareil semble si forte que certains ont déserté avant de combattre. Beaucoup poussaient Valérie Pécresse et Xavier Bertrand à y aller. Ils ont renoncé par peur de subir une défaite très compromettante pour leurs ambitions élyséennes .",{},,[]
77098,"Le parti ne veut pas rouvrir des dossiers sensibles au moment où il veut afficher son unité. En interne , certains redoutent que le front sociétal se révèle , à terme , comme la plus grosse épine dans le pied de l ' opposition. Le problème n ' est pas tant que Hollande nous pique nos idées sur l ' économie avec son pacte de responsabilité. Ce qui peut être un vrai facteur de division au sein de l ' UMP , ce sont les sujets de société que la gauche met en avant pour nous gêner , comme l ' euthanasie ou l ' IVG , analyse un poids-lourd du parti .",{},,"[[93, 128, 'off'], [517, 548, 'off']]"
77099,"Tant qu ' il apparaissait comme un candidat de témoignage , ses propositions n ' étaient écoutées qu ' avec un intérêt poli. Depuis qu ' il est le champion de la droite , son programme est épluché avec beaucoup plus d ' attention et commence à susciter de sérieuses crispations , y compris dans son camp. C ' est particulièrement vrai de la réforme radicale du système de remboursement de soins par la Sécurité sociale qu ' il préconise. Ou plutôt qu ' il préconisait .",{},,[]
77100,"On est jamais trop prudent. . . On a peur de tout et franchement , vu le contexte , il y a de quoi devenir parano , confie un participant. Retard à l ' allumage Ses proches parmi les proches n ' étaient pas au courant des activités de Penelope Fillon. On est tous tombés de l ' armoire quand c ' est sorti , confie l ' un d ' eux .",{},,"[[116, 137, 'off'], [308, 329, 'off']]"
77101,"Une vingtaine de spectateurs au balcon ont survécu en se cachant dans les combles. D ' autres sont sortis par une trappe. Quelqu ' un qui connaissait les lieux , un régisseur , l ' a ouverte , explique John , un survivant. Il y avait plusieurs enfants à l ' étage , je revois encore le gamin et la femme à côté de moi .",{},,[]
77102,"Sincérité , le mot qui fâche. Au ministère des finances , on rejette fermement cette mise en cause. La prévision de recettes a été directement impactée par une croissance moins forte que prévu , plaide l ' entourage du ministre , qui met en garde contre une interprétation trop hâtive . Le gouvernement est cependant obligé d ' admettre que les recettes ont été beaucoup moins dynamiques que prévu .",{},,"[[195, 227, 'off']]"
77103,"Hulot était très soulagé que quelqu ' un comme moi , qu ' on peut difficilement soupçonner d ' être macroniste , lui recommande d ' y aller , confie-t-il. Objectif à court terme Une promotion saluée , mais qui inquiète déjà certains proches du chef de l ' Etat. ­Hulot , c ' est une connerie. Lui ministre , c ' est l ' administration qui va gouverner .",{},,"[[206, 260, 'off']]"
