Unnamed: 0,text,labels,journal,auteurs,date,titre,annee,nbmots,auteurs2,decennie
0,"Content protected by copyright, removed from the public repo","[[0, 128, 'Policy'], [129, 166, 'Politics'], [167, 199, 'Other'], [200, 319, 'Politics'], [322, 533, 'Policy'], [534, 720, 'Policy'], [721, 1118, 'Policy'], [1119, 1291, 'Policy'], [1292, 1364, 'Politics'], [1365, 1450, 'Policy'], [1453, 1594, 'Politics'], [1595, 1647, 'Politics'], [1648, 1667, 'Other'], [1668, 1757, 'Politics'], [1760, 1933, 'Policy'], [1934, 1974, 'Other'], [1975, 2011, 'Other'], [2012, 2134, 'Policy'], [2135, 2250, 'Policy'], [2253, 2573, 'Politics'], [2574, 2804, 'Policy'], [2807, 2857, 'Policy'], [2858, 3017, 'Policy'], [3018, 3130, 'Policy'], [3131, 3167, 'Politics'], [3168, 3239, 'Politics'], [3240, 3472, 'Policy'], [3473, 3522, 'Policy'], [3523, 3914, 'Politics'], [3917, 4128, 'Policy'], [4129, 4230, 'Policy'], [4231, 4324, 'Policy'], [4325, 4404, 'Politics'], [4407, 4544, 'Policy'], [4547, 4785, 'Policy'], [4788, 4821, 'Other']]", Le Monde   ,René PUISSESSEAU.,  mercredi 27 juillet 1949 726 mots ,Pour désarmer l'opposition M. DANIEL MAYER PROPOSERAIT DES ÉCONOMIES DE FRAIS DE GESTION à la sécurité sociale,1949,726,rene puissesseau,40
36,"Content protected by copyright, removed from the public repo","[[0, 63, 'Politics'], [64, 140, 'Policy'], [141, 170, 'Other'], [171, 210, 'Politics'], [211, 292, 'Politics'], [293, 386, 'Policy'], [387, 579, 'Politics'], [580, 640, 'Politics'], [641, 963, 'Policy'], [964, 1167, 'Politics'], [1168, 1203, 'Politics'], [1205, 1331, 'Politics'], [1332, 1549, 'Politics'], [1550, 1726, 'Policy'], [1729, 1804, 'Policy'], [1805, 1830, 'Other'], [1831, 2125, 'Politics'], [2128, 2140, 'Other'], [2141, 2246, 'Politics'], [2247, 2297, 'Politics'], [2298, 2374, 'Politics'], [2375, 2502, 'Policy'], [2503, 2600, 'Politics'], [2601, 2614, 'Other'], [2615, 2752, 'Policy'], [2755, 2951, 'Policy'], [2952, 3013, 'Politics'], [3014, 3189, 'Policy']]", Le Monde   ,Rémy ROURE.,  jeudi 22 juillet 1948 370 mots ,""" FAIR PLAY "" DÉMOCRATIQUE",1948,370,remy roure,40
64,"Content protected by copyright, removed from the public repo","[[0, 44, 'Policy'], [45, 155, 'Policy'], [156, 310, 'Policy'], [311, 491, 'Policy'], [492, 542, 'Policy'], [543, 646, 'Other'], [647, 799, 'Policy'], [800, 810, 'Other'], [811, 1032, 'Policy'], [1033, 1196, 'Policy'], [1197, 1397, 'Policy'], [1398, 1534, 'Policy'], [1536, 1783, 'Policy'], [1784, 1966, 'Policy'], [1967, 2148, 'Policy'], [2149, 2212, 'Policy'], [2213, 2262, 'Policy'], [2263, 2332, 'Policy'], [2333, 2410, 'Policy'], [2411, 2414, 'Politics'], [2415, 2575, 'Policy'], [2576, 2605, 'Other'], [2608, 2817, 'Politics'], [2818, 2885, 'Politics'], [2886, 3014, 'Politics'], [3015, 3047, 'Politics'], [3050, 3128, 'Policy'], [3129, 3210, 'Politics'], [3211, 3268, 'Policy'], [3269, 3318, 'Other'], [3319, 3427, 'Policy'], [3428, 3566, 'Policy'], [3567, 3643, 'Policy'], [3644, 3699, 'Policy'], [3702, 3789, 'Policy'], [3790, 3914, 'Policy'], [3915, 3994, 'Politics'], [3995, 4123, 'Policy']]", Le Monde   ,Jacques FAUVET.,  jeudi 19 mai 1949 489 mots ,LA MAJORITÉ EST MISE DEVANT SES RESPONSABILITÉS : ou accepter les économies et ressources nouvelles ou refuser le surcroît des charges militaires,1949,489,jacques fauvet,40
102,"Content protected by copyright, removed from the public repo","[[0, 230, 'Policy'], [231, 445, 'Policy'], [446, 516, 'Politics'], [517, 562, 'Politics'], [565, 860, 'Policy'], [861, 1154, 'Policy'], [1155, 1232, 'Policy'], [1234, 1344, 'Policy'], [1345, 1380, 'Policy'], [1381, 1497, 'Policy'], [1498, 1629, 'Policy'], [1630, 1705, 'Politics'], [1708, 1950, 'Policy'], [1951, 2085, 'Other'], [2086, 2256, 'Politics'], [2257, 2319, 'Policy'], [2322, 2658, 'Policy'], [2659, 2844, 'Policy'], [2845, 2999, 'Politics']]", Le Monde   ,RÉMY ROURE,  samedi 1 juin 1946 344 mots ,UN CENTRE RÉPUBLICAIN,1946,344,remy roure,40
121,"Content protected by copyright, removed from the public repo","[[0, 83, 'Policy'], [84, 165, 'Policy'], [166, 283, 'Policy'], [284, 436, 'Policy'], [437, 569, 'Policy'], [572, 642, 'Policy'], [643, 696, 'Politics'], [697, 767, 'Policy'], [768, 983, 'Policy'], [984, 1143, 'Policy'], [1144, 1187, 'Policy'], [1188, 1272, 'Policy'], [1274, 1325, 'Policy'], [1326, 1347, 'Other'], [1348, 1451, 'Policy'], [1452, 1526, 'Policy'], [1527, 1645, 'Policy'], [1646, 1718, 'Policy'], [1719, 1868, 'Policy'], [1869, 1943, 'Policy'], [1944, 1997, 'Other'], [1998, 2041, 'Policy'], [2042, 2092, 'Policy'], [2093, 2179, 'Policy'], [2180, 2315, 'Policy'], [2318, 2399, 'Politics'], [2400, 2450, 'Politics'], [2451, 2505, 'Other'], [2506, 2703, 'Policy'], [2704, 2853, 'Policy'], [2854, 2917, 'Politics'], [2918, 2963, 'Policy']]", Le Monde   ,RÉMY ROURE.,  samedi 2 octobre 1948 355 mots ,LA GREVE DES MINES,1948,355,remy roure,40
153,"Content protected by copyright, removed from the public repo","[[0, 168, 'Other'], [169, 239, 'Politics'], [240, 416, 'Policy'], [417, 501, 'Other'], [502, 629, 'Politics'], [632, 748, 'Policy'], [749, 890, 'Politics'], [891, 1070, 'Politics'], [1071, 1364, 'Politics'], [1366, 1519, 'Politics'], [1520, 1776, 'Policy'], [1777, 2161, 'Policy'], [2162, 2320, 'Policy'], [2321, 2427, 'Policy'], [2430, 2497, 'Politics'], [2498, 2603, 'Politics'], [2604, 2633, 'Other'], [2634, 2709, 'Other'], [2712, 2890, 'Policy'], [2891, 3152, 'Politics'], [3153, 3249, 'Politics'], [3250, 3321, 'Politics'], [3322, 3458, 'Politics'], [3459, 3553, 'Other'], [3554, 3575, 'Other'], [3576, 3701, 'Politics'], [3702, 3829, 'Politics'], [3830, 3968, 'Politics'], [3969, 4073, 'Politics'], [4074, 4135, 'Policy'], [4136, 4187, 'Policy'], [4188, 4293, 'Policy'], [4294, 4356, 'Politics']]", Le Monde   ,RÉMY ROURE.,  samedi 22 novembre 1947 549 mots ,L'ENJEU,1947,549,remy roure,40
186,"Content protected by copyright, removed from the public repo","[[0, 25, 'Other'], [26, 527, 'Other'], [528, 689, 'Politics'], [692, 920, 'Policy'], [921, 1006, 'Politics'], [1007, 1030, 'Other'], [1031, 1047, 'Other'], [1048, 1200, 'Politics'], [1201, 1281, 'Politics'], [1283, 1367, 'Policy'], [1370, 1486, 'Policy'], [1487, 1617, 'Other'], [1618, 1680, 'Other'], [1681, 1850, 'Politics'], [1851, 1991, 'Policy'], [1992, 2134, 'Policy'], [2135, 2205, 'Policy'], [2206, 2290, 'Policy'], [2293, 2365, 'Policy'], [2366, 2694, 'Policy'], [2695, 2865, 'Policy'], [2868, 3218, 'Politics'], [3221, 3261, 'Politics'], [3262, 3314, 'Policy'], [3315, 3381, 'Other'], [3382, 3646, 'Policy'], [3647, 3702, 'Other'], [3705, 3727, 'Policy'], [3728, 3836, 'Policy'], [3839, 3887, 'Other'], [3888, 3972, 'Policy'], [3973, 4032, 'Politics'], [4033, 4129, 'Politics'], [4130, 4236, 'Policy'], [4237, 4374, 'Policy'], [4375, 4412, 'Policy'], [4413, 4469, 'Other'], [4472, 4544, 'Other'], [4545, 4718, 'Other'], [4719, 4825, 'Policy']]", Le Monde   ,Rémy ROURE.,  mardi 13 janvier 1948 549 mots ,N'ABUSEZ PAS DES MANIFESTES,1948,549,remy roure,40
226,"Content protected by copyright, removed from the public repo","[[0, 22, 'Politics'], [23, 118, 'Policy'], [119, 179, 'Other'], [180, 366, 'Politics'], [369, 543, 'Policy'], [544, 636, 'Policy'], [637, 700, 'Policy'], [701, 888, 'Policy'], [889, 979, 'Policy'], [980, 1084, 'Policy'], [1085, 1198, 'Policy'], [1200, 1515, 'Politics'], [1516, 1693, 'Policy'], [1694, 1748, 'Politics'], [1749, 1905, 'Politics'], [1906, 2083, 'Politics'], [2084, 2093, 'Politics'], [2094, 2225, 'Politics'], [2226, 2518, 'Politics'], [2521, 2530, 'Politics'], [2531, 2555, 'Politics'], [2556, 2633, 'Politics'], [2634, 2697, 'Other'], [2700, 2796, 'Politics'], [2797, 2987, 'Politics'], [2988, 3054, 'Politics'], [3055, 3216, 'Policy'], [3217, 3395, 'Policy'], [3396, 3468, 'Politics']]", Le Monde   ,JACQUES FAUVET.,  mardi 12 mars 1946 394 mots ,LE M.R.P. RATIFIERA LA CONSTITUTION mais veillera au respect de l'accord des partis,1946,394,jacques fauvet,40
255,"Content protected by copyright, removed from the public repo","[[0, 132, 'Politics'], [133, 365, 'Policy'], [366, 553, 'Policy'], [556, 667, 'Politics'], [668, 724, 'Other'], [726, 981, 'Policy'], [982, 1074, 'Politics'], [1075, 1127, 'Other'], [1130, 1169, 'Politics'], [1170, 1268, 'Policy'], [1269, 1444, 'Policy'], [1445, 1501, 'Other'], [1502, 1570, 'Policy'], [1571, 1862, 'Policy'], [1865, 2075, 'Policy'], [2076, 2143, 'Politics'], [2144, 2271, 'Policy'], [2272, 2444, 'Policy'], [2447, 2547, 'Politics'], [2548, 2604, 'Politics'], [2605, 2779, 'Policy'], [2780, 2832, 'Other'], [2833, 2900, 'Policy'], [2901, 2964, 'Other'], [2965, 3056, 'Politics'], [3057, 3363, 'Policy'], [3364, 3574, 'Policy']]", Le Monde   ,Rémy ROURE,  mardi 2 septembre 1947 422 mots ,LE TRAVAIL SEUL,1947,422,remy roure,40
282,"Content protected by copyright, removed from the public repo","[[0, 202, 'Policy'], [203, 258, 'Policy'], [259, 381, 'Policy'], [382, 474, 'Policy'], [475, 561, 'Policy'], [562, 667, 'Politics'], [668, 678, 'Other'], [679, 755, 'Politics'], [756, 827, 'Politics'], [828, 909, 'Other'], [911, 999, 'Policy'], [1000, 1060, 'Other'], [1061, 1229, 'Policy'], [1230, 1256, 'Other'], [1257, 1425, 'Politics'], [1428, 1530, 'Policy'], [1531, 1646, 'Policy'], [1647, 1769, 'Policy'], [1770, 1827, 'Other'], [1828, 2007, 'Policy'], [2008, 2231, 'Policy'], [2232, 2351, 'Policy'], [2352, 2466, 'Policy'], [2467, 2561, 'Policy'], [2564, 2592, 'Policy'], [2593, 2747, 'Policy'], [2748, 3023, 'Policy'], [3024, 3124, 'Policy'], [3125, 3186, 'Policy'], [3187, 3305, 'Policy'], [3308, 3474, 'Policy']]", Le Monde   ,Rémy ROURE,  lundi 9 février 1948 417 mots ,POIS ÉVITER LE PIRE,1948,417,remy roure,40
